epoch,tr_loss,va_loss,va_acc,va_1nn,va_r5
1,5.546154674451613,2.292705820434183,0.5350665054413543,0.3103385731559855,0.6331318016928658
2,5.480302532154531,2.355307620093497,0.5350665054413543,0.3134220072551391,0.6352478839177751
3,5.478688924990081,2.425389913780369,0.5350665054413543,0.31577992744860944,0.6377871825876663
4,5.477821385892155,2.3421199719591614,0.5350665054413543,0.31680773881499397,0.6378476420798065
5,5.477229111658763,2.3056913076606023,0.5350665054413543,0.3134220072551391,0.6417775090689238
6,5.476837047498488,2.3499736724770486,0.5350665054413543,0.31662636033857317,0.6400846432889964
7,5.476608201826066,2.3858072489608158,0.5350665054413543,0.31233373639661427,0.6380894800483676
8,5.476401832146974,2.361311868024132,0.5350665054413543,0.3090689238210399,0.6396614268440145
9,5.476267526758049,2.3572199711344117,0.5350665054413543,0.3088875453446191,0.6408706166868199
10,5.476167964912239,2.354749606973171,0.5350665054413543,0.31553808948004836,0.6400241837968561
11,5.47609010855549,2.3837861136052454,0.5350665054413543,0.31100362756952843,0.6408706166868199
12,5.476027324265984,2.360119590390262,0.5350665054413543,0.30755743651753326,0.6371221281741234
13,5.47594872545014,2.355471078775814,0.5350665054413543,0.31166868198307135,0.6339177750906893
14,5.475920047045042,2.364326509973879,0.5350665054413543,0.3211608222490931,0.6356106408706167
15,5.475882903425408,2.358614681479144,0.5350665054413543,0.31934703748488513,0.6415356711003628
16,5.47582154501162,2.3530892977547326,0.5350665054413543,0.3310157194679565,0.6458887545344619
17,5.4758172821450835,2.3706649455655153,0.5350665054413543,0.3302902055622733,0.6489721886336155
18,5.47576920533555,2.361589737699571,0.5350665054413543,0.33784764207980655,0.6513905683192261
19,5.475759599125227,2.355632101437201,0.5350665054413543,0.3371825876662636,0.6588270858524788
20,5.475745421551447,2.357521391260869,0.5350665054413543,0.3438935912938331,0.6552599758162031
