epoch,tr_loss,va_loss,va_acc,va_1nn,va_r5
1,3.1626141588909253,1.8662477827808255,0.3704974271012007,0.23499142367066894,0.6174957118353345
2,3.08377640624183,1.8718325474249968,0.3704974271012007,0.2058319039451115,0.6192109777015438
3,3.0752707724099055,1.8050369627479828,0.3704974271012007,0.21269296740994853,0.6518010291595198
4,3.0866648842749553,1.8432670093523291,0.3704974271012007,0.24528301886792453,0.6174957118353345
5,3.0837150431014835,1.8672167113878306,0.36192109777015435,0.22298456260720412,0.5763293310463122
6,3.0720504517209086,1.8029776396514212,0.3687821612349914,0.19725557461406518,0.6397941680960549
7,3.078303283906134,1.8292718052250647,0.34305317324185247,0.18010291595197256,0.5780445969125214
8,3.0722787024656903,1.8425684739958565,0.3653516295025729,0.19039451114922812,0.614065180102916
9,3.0739247119301933,1.9318331017911332,0.241852487135506,0.21783876500857632,0.5917667238421955
10,3.0761926231037307,1.8622621373492285,0.32075471698113206,0.21269296740994853,0.6518010291595198
11,3.0769862405264052,1.9063553497271921,0.2881646655231561,0.2504288164665523,0.5951972555746141
12,3.073538491344174,1.921577261610669,0.2624356775300172,0.2195540308747856,0.6054888507718696
13,3.0835219586674993,1.8422975728278708,0.3584905660377358,0.22126929674099485,0.6192109777015438
14,3.0689311187099957,1.863152723983058,0.3481989708404803,0.2332761578044597,0.6346483704974271
15,3.0650464862007127,1.8962549398530204,0.274442538593482,0.22126929674099485,0.6226415094339622
16,3.0783674293467005,1.8851037000914586,0.3259005145797599,0.21612349914236706,0.6415094339622641
17,3.0717824978793242,1.8864061893770665,0.32246998284734135,0.2195540308747856,0.6329331046312179
18,3.0695344752424143,1.9105255481104908,0.2950257289879931,0.23842195540308747,0.6329331046312179
19,3.0768625905220395,1.9047950659567046,0.2967409948542024,0.23499142367066894,0.6243567753001715
20,3.0780595144727165,1.900488620352377,0.30360205831903947,0.23156089193825044,0.6243567753001715
