epoch,tr_loss,va_loss,va_acc,va_1nn,va_r5
1,12.940730474944335,2.049370686578347,0.5304715840386941,0.309310761789601,0.6283555018137847
2,12.778206283418655,2.0390042678620826,0.5304715840386941,0.3089480048367594,0.6294437726723096
3,12.762996064042206,2.077154159661216,0.5304715840386941,0.3090084643288996,0.6319226118500605
4,12.744880099426622,2.019956376244108,0.5304715840386941,0.30326481257557436,0.6314993954050786
5,12.734854642751955,2.064425864675169,0.5304715840386941,0.30882708585247887,0.6334340991535671
6,12.729345218535954,1.9880985122205557,0.5304715840386941,0.30362756952841596,0.632950423216445
7,12.720086121549533,2.0187503060521927,0.5304715840386941,0.3126360338573156,0.6327690447400242
8,12.713460209580113,2.0284190559329547,0.5304715840386941,0.31166868198307135,0.6297460701330109
9,12.715229516885909,2.014281423636763,0.5304715840386941,0.30616686819830713,0.6318621523579202
10,12.704491960914261,1.9852044374507456,0.5304715840386941,0.30362756952841596,0.6310761789600967
11,12.697267482557173,2.017439275295299,0.5304715840386941,0.3088875453446191,0.6333131801692866
12,12.699845596655841,2.009902610801872,0.5304715840386941,0.30749697702539297,0.631136638452237
13,12.697790119376664,2.0180332690657554,0.5304715840386941,0.3050785973397823,0.631136638452237
14,12.692674119706663,1.99945463413483,0.5304715840386941,0.3048972188633616,0.6330108827085853
15,12.687307440457799,1.9808169344748667,0.5304715840386941,0.309552599758162,0.6321039903264812
16,12.685270201818735,1.9829702668495592,0.5304715840386941,0.309310761789601,0.6328899637243047
17,12.68276685396702,1.9875529315192004,0.5304715840386941,0.3091293833131802,0.6336154776299879
18,12.681540181043246,1.9804140197610913,0.5304715840386941,0.30792019347037486,0.632043530834341
19,12.678948788692214,1.9784675571621546,0.5304715840386941,0.3090084643288996,0.6335550181378476
20,12.678831084293815,1.9747968518315953,0.5304715840386941,0.30846432889963726,0.6333131801692866
