analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs
image,cbramod,resnet,0.007114020968565718,0.0,"[0.8073455617360169, 0.6135846644221085, 0.585809391145323, 0.5757824818228859, 0.5671611825125226]"
image,labram,resnet,0.004094981372800585,1.0374439192398394e-126,"[0.6562854194400927, 0.544628516712214, 0.5114425098310399, 0.46758463945754414, 0.45506351217393415]"
image,ensemble,resnet,9.941586933592814e-05,0.5610205754630866,"[0.843266968717679, 0.6655860048492012, 0.6441451079591528, 0.6118555867845181, 0.5993066442118619]"
