analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,resnet,0.046464073328161146,0.0,"[0.918109193029564, 0.8136596089651031, 0.7658091502586011, 0.7309408964150438, 0.6704599299993846]",1.0050242980341677,-0.00025115305768568983,0.19495084774253452
image,labram,resnet,0.028356866509559913,0.0,"[0.8606923578674446, 0.741618051448663, 0.6758410610752785, 0.5731533937661184, 0.5554197725095704]",1.0078360438198528,4.523392581039731e-05,0.11157938248251029
image,ensemble,resnet,0.04931947238862636,0.0,"[0.923380243147627, 0.8324410815884736, 0.7905722253852547, 0.7564712800456975, 0.7083339524826952]",1.0058084490215808,-0.0002582813756364814,0.1982969058922941
