analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,resnet,0.005968752610753758,6.906187034880848e-267,"[0.8016249737469561, 0.6001855005688903, 0.5868337739574835, 0.5729358790962977, 0.5612684418422549]",1.0001268681481352,-0.0003927218968811415,0.03828557973906035
image,labram,resnet,0.003603255699606094,1.5051724329179115e-98,"[0.6489313232908401, 0.5401237354149555, 0.48938693784704446, 0.46460191243763127, 0.45373660280112366]",0.9882659325101693,-0.00042786897723719853,0.022819638936732386
image,ensemble,resnet,0.00817523245949249,0.0,"[0.8378287558256903, 0.6762481316712633, 0.6371567352143733, 0.6206634355349843, 0.6026493387520329]",0.9754001131831406,-0.0004725977159959116,0.037427189082047924
