analysis,eeg_type,model,spectrum_mass,nn_accuracy,recall_at_5,procrustes_mse,cka
text,cbramod,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.011764705882352941,0.0670076726342711,1.5627306834985943,0.09097022978762938
text,cbramod,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.02612958226768968,0.0959931798806479,1.9165307231884465,0.12921713848727415
text,ensemble,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.011722080136402389,0.09612105711849957,1.6334136015885306,0.0979597448378695
text,ensemble,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.01453537936913896,0.09011082693947145,2.00240259400816,0.13654388629399924
text,labram,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.017433930093776643,0.07851662404092072,0.7256281343313304,0.08915271803061921
text,labram,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.017433930093776643,0.0696078431372549,0.706269465963912,0.11772940416901889
text,ensemble,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.011722080136402389,0.09612105711849957,1.6334136015885306,0.0979597448378695
text,ensemble,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.01453537936913896,0.09011082693947145,2.00240259400816,0.13654388629399924
